name,category
Srishti Bangalore,"Academia, Education & Research"
NID Bangalore,"Academia, Education & Research"
UNext by Manipal,"Academia, Education & Research"
Flame Pune,"Academia, Education & Research"
Data For India,"Academia, Education & Research"
ISB Hyderabad,"Academia, Education & Research"
IISc Bangalore,"Academia, Education & Research"
NIFT Hyderabad,"Academia, Education & Research"
IIT Madras,"Academia, Education & Research"
Spinfinity,"Academia, Education & Research"
My Chat Lesson,"Academia, Education & Research"
Mathematical Sciences,"Academia, Education & Research"
Google,"Data & AI, Consulting & Services"
Revisual Labs,"Data & AI, Consulting & Services"
TCS,"Data & AI, Consulting & Services"
Earthmetry,"Data & AI, Consulting & Services"
Successive Digital,"Data & AI, Consulting & Services"
SAP,"Data & AI, Consulting & Services"
Infocepts,"Data & AI, Consulting & Services"
Fractal,"Data & AI, Consulting & Services"
BCG,"Data & AI, Consulting & Services"
Tata Elxsi,"Data & AI, Consulting & Services"
Service Now,"Data & AI, Consulting & Services"
Salesforce,"Data & AI, Consulting & Services"
Motive,"Data & AI, Consulting & Services"
Nutanix,"Data & AI, Consulting & Services"
Microsoft,"Data & AI, Consulting & Services"
Cisco,"Data & AI, Consulting & Services"
Innoventes Lab,"Data & AI, Consulting & Services"
Travelopia,"Data & AI, Consulting & Services"
Gain.pro,"Data & AI, Consulting & Services"
Straive,"Data & AI, Consulting & Services"
Thomson Reuters,"Design, Media & Communication"
The Times of India,"Design, Media & Communication"
Social Innovation,"Design, Media & Communication"
Laminar Design,"Design, Media & Communication"
Malayalam Manorama,"Design, Media & Communication"
DAKSH Society,"Design, Media & Communication"
Clinton Health,"Design, Media & Communication"
Public Knowledge,"Design, Media & Communication"
Parallel,"Design, Media & Communication"
Lollypop Design,"Design, Media & Communication"
IcarusNova,"Design, Media & Communication"
Younion,"Design, Media & Communication"
PingPong,"Design, Media & Communication"
GG Wells,"Design, Media & Communication"
Fisheye Creative,"Design, Media & Communication"
City Collab,"Design, Media & Communication"
The Hindu,"Design, Media & Communication"
The Economist,"Design, Media & Communication"
Mongabay India,"Design, Media & Communication"
Deccan Herald,"Design, Media & Communication"
BBC,"Design, Media & Communication"
Noora Health,"Design, Media & Communication"
CEGIS foundation,"Design, Media & Communication"
Enphase Energy,Domain Specific Visualisation
Novo Nordisk,Domain Specific Visualisation
Walmart,Domain Specific Visualisation
Poshmark,Domain Specific Visualisation
Infinyte Club,Domain Specific Visualisation
Fidelity,Domain Specific Visualisation
Bunge,Domain Specific Visualisation
Broadcom,Domain Specific Visualisation
Flipkart,Domain Specific Visualisation
Ford,Domain Specific Visualisation
Swiss Re,Domain Specific Visualisation
Svasti Microfinance,Domain Specific Visualisation
S&P Global,Domain Specific Visualisation
LSE Group,Domain Specific Visualisation
CredCore,Domain Specific Visualisation
Capital One,Domain Specific Visualisation
Atlas Consolidated,Domain Specific Visualisation
Eli Lilly,Domain Specific Visualisation
Wysa,Domain Specific Visualisation
The Art Connect,Domain Specific Visualisation
Symmetry Systems,Domain Specific Visualisation
PhonePe,Domain Specific Visualisation
India in Pixels,Tool Builders & Creators
Gramener,Tool Builders & Creators
Postman,Tool Builders & Creators
Metadome.ai,Tool Builders & Creators
Eightfold,Tool Builders & Creators
MathWorks,Tool Builders & Creators
VideoVerse,Tool Builders & Creators
Asato.ai,Tool Builders & Creators